Index,URL,Redirected Website,.sg TLD on eventual redirected website,"Whether there is a DPO contact? 
(Wait for reply)
Y = 2
N = 1","Purpose for collecting data stated? 
Y = 2
N = 1 ","Whether there is DPP that can be accessed from the web page OR available on request via email within 7/14 days?
Y = 2
N = 1","Whether there is DPP that can be accessed from the web page?
Y = 2
N = 1","Whether DPP notifies the type of data collected
Y = 2
N =1","Whether they will notify for material amendments

2: Notification extraneous to DPP e.g. email, prominent notice on website 

1: Notification within DPP e.g. last updated, asks users to check back

0: No mention about material amendments/ any form of notice","Whether DPP provides notice of data procedures upon sale, merger, acquisition of the company or otherwise ceases to exist
Y = 2
N = 1 ","Does the DPP provide that data will not be sold?
2: unqualified 
1: qualified
0: no mention","Whether DPP provides a procedure for, or allows consumers to submit a request to an organisation for access AND correction of personal data? (whether for a fee or not;)
Both = 2 
Either = 1
General/No mention = 0","Whether DPP provides information on specific period of data retention 
Specific e.g. 1 year, as long as necessary to [purpose/activity] = 2
General e.g. reasonable  = 1
No mention = 0","Does the DPP provide for personal data transferred/located overseas?  
Transfer = 2
No transfer = 1
No mention = 0","Whether DPP states last amended date?
Y: 2
N: 1","Whether DPP identifies means of substantive privacy and security protections incorporated into operating procedures 
Specific examples (e.g. limiting access to data)  = 2
General measures = 1
No mention = 0","Whether DPP Identifies means of technological security (e.g. encryption, private servers)
Specific e.g. SSL = 2 
General e.g. industry standard = 1
No mention = 0","Does the DPP provide the sharing of personal data with third parties? 
Y = 2
N = 1
No Mention = 0","Are third parties engaged to collect personal information on the website’s behalf? 
Y = 2
N = 1
No Mention = 0","Are independent third parties allowed to collect personal information on the website for their own purposes? 
Y = 2 
N = 1
NA = 0",Comprehensiveness of DPP Score,Total Visits from everywhere (3months),Total visitors from SG (3 Months),% of total visits from SG,"Whether there is a SG office? 
Y = 2
N = 1","Listed / non-listed
Y = 2 
N = 1","When was the DPP last amended?
0 = Nan
1 = 2013 and before
2 = 2014
3 = 2015
4 = 2016
5 = 2017",Categories: Entertainment/Lifestyle,Categories:Travel,Categories: Fashion,Categories: Beauty and Cosmetics,Categories: IT/Electronics,Categories: Gift/ Collectibles,Categories: Food or Groceries,Categories: Financial services,Categories:Others,Length of DPP (number of words),Number of Cookies ,"Is the login page secured through “https://”? 
Y = 2
N = 1","Whether EU's Data Protection Directive / General Data Protection Regulations are mentioned 
Y = 2
N = 1","Whether SG's PDPA is mentioned? 
Y = 2
N = 1","Any other legislation mentioned?
Y = 2
N = 1",Accessibility (number of clicks),"Readability  (numbers of sections)
If only DPP header: 0","Whether there is simplified english
Y = 2
N = 1",Flesch Reading Ease test scores,Flesch Reading Ease test scores (Calculated),"Whether there is a notice of consent to privacy policy when creating an account? 
Y = 2
N = 1
No account = 0","Whether there is a notice of consent to privacy policy when entering into transactions? 
Y = 2 
N = 1
No transaction = 0","
Name; 
Address;
Contact Number;
Salary
Employer
Gender
NRIC 
Social data 

Contact information is collected 
Y = 2
N = 1
NA = 0","IP address; 
Browser type;
OS


Computer information is collected
Y = 2
N = 1
NA = 0","Credit Card details;
Any other payment details

Financial information is collected
Y = 2
N = 1
NA = 0","Browsing Behaviour; 
Search History

Interactive information is collected
Y = 2
N = 1
NA = 0","Upload media; 
Personal communications;
stored documents;


Content is collected
Y = 2
N = 1
NA = 0","racial or ethnic origin;
political opinion;
religious or philosophical beliefs;
trade-union membership; and data concerning health or sex life 

Sensitive information is collected 
Y = 2
N = 1
NA = 0","Are “third party providers” (data shared with/engaged to collect data) explicitly identified in the DPP?
Specific companies = 2
General groups e.g. delivery services, payment processing, customer support = 1
No elaboration = 0","Does the DPP expressly state that it does not apply to information collected by third parties on their own website? (i.e. are third parties bound by the same privacy policy) 
Y = 2
N = 1",Last amended date,Last amended (days from 01/04/17)
1,99.co,,0,1,1,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,756794,599456.53,79.21,2,1,0,0,0,0,0,0,0,0,0,1,179,18,2,1,2,1,1,0,1,16.7,48.95,2,0,0,0,0,0,0,0,0,1,NaN,
2,adidas.com.sg,,1,1,2,2,2,2,1,1,1,1,0,2,1,2,1,2,0,1,9,765939,601108.93,78.48,2,2,0,0,0,1,0,0,0,0,0,0,1643,38,2,1,1,1,1,11,1,42.2,51.16,1,2,2,2,0,2,0,0,1,1,NaN,
3,"Adobe.com
",http://www.adobe.com/sea/,0,1,2,2,2,2,1,2,0,2,2,2,2,1,1,2,0,2,11,1070000000,3103000,0.29,2,2,4,0,0,0,0,1,0,0,0,0,2960,34,2,2,1,1,1,14,1,41.8,47.2,2,2,2,2,2,2,2,0,1,1,42537,289
4,"Agoda.com
",,0,2,2,2,2,2,2,2,0,2,0,2,2,1,2,2,0,0,9.5,96520000,3773932,3.91,2,2,4,0,1,0,0,0,0,0,0,0,3082,53,2,1,1,1,1,12,1,33.2,42.08,1,2,2,2,2,2,0,0,1,1,42705,121
5,"Airasia.com
",,0,2,2,2,2,2,2,2,2,2,0,2,1,0,0,2,2,0,9,58170000,2001048,3.44,1,2,0,0,1,0,0,0,0,0,0,0,2151,60,2,1,1,1,1,13,1,33.7,39.02,2,2,2,2,2,2,0,0,1,1,NaN,
6,Airbnb.com.sg,,1,2,2,2,2,2,2,2,1,2,0,2,2,1,1,2,2,2,11,2422000,2051191.8,84.69,2,1,4,0,1,0,0,0,0,0,0,0,7342,27,2,1,1,2,2,16,1,35.8,50.62,2,1,2,2,2,2,2,2,1,1,42670,156
8,"Aliexpress.com
",,0,2,2,2,2,2,1,1,0,2,0,2,2,1,1,2,0,0,8,1984000000,4761600,0.24,1,2,4,0,0,1,1,1,1,0,0,1,2569,47,2,1,1,1,1,9,1,29.5,52.49,2,2,2,2,2,2,0,0,1,1,42632,194
9,alldealsasia.com,https://www.deals-singapore.com/AllDealsAsia,0,1,2,2,2,2,1,2,0,2,0,0,1,0,2,2,0,0,7,5013,2735.59,54.57,2,2,0,1,1,1,1,1,1,1,0,0,2413,37,2,1,1,1,1,10,1,26.4,44.63,1,0,2,2,2,2,2,0,1,2,NaN,
10,"Amazon.co.uk
",,0,1,2,2,2,2,2,2,2,0,0,2,2,1,2,2,2,2,11.5,1478000000,1773600,0.12,1,2,4,0,0,1,1,1,1,0,0,1,4025,45,2,1,1,2,1,19,1,38.8,46.2,2,2,2,2,2,2,2,0,1,2,42643,183
11,"Amazon.com
",,0,1,2,2,2,2,2,2,2,0,0,0,2,0,2,2,2,2,10,7993000000,21581100,0.27,1,2,4,0,0,1,1,1,1,1,0,1,3521,14,2,1,1,2,1,13,1,39.7,42.22,2,2,2,2,2,2,2,0,1,2,42643,183
12,Amazon.in,,0,1,2,2,2,2,2,2,2,0,0,2,1,1,2,2,2,2,10.5,598700000,1197400,0.2,1,2,0,0,0,1,1,1,1,1,0,1,3365,20,2,1,1,2,1,13,1,37.4,45.3,2,1,2,2,2,2,2,0,1,2,NaN,
13,Amazonaws.com,,0,1,2,2,2,2,2,2,2,0,0,0,2,0,2,2,2,2,10,103500000,51750,0.05,1,2,4,0,0,0,0,1,0,0,0,0,3807,47,2,1,1,2,1,14,1,39.5,42.92,2,0,2,2,2,2,2,0,1,2,42643,183
14,Americanexpress.com,,0,2,2,2,2,2,1,2,0,2,2,2,2,1,2,2,2,2,12.5,225600000,1082880,0.48,2,2,2,0,0,0,0,0,0,0,1,0,5661,31,2,1,1,1,1,29,1,37.2,46.99,0,0,2,2,2,2,0,0,1,1,41957,869
15,"Apple.com
",http://www.apple.com/sg/,0,1,2,2,2,2,2,2,0,2,2,2,2,1,2,2,0,0,10.5,1799000000,8995000,0.5,2,2,4,0,0,0,0,1,0,0,0,0,3168,34,2,1,1,1,1,13,1,33.4,37.06,2,2,2,2,2,2,2,0,1,1,42625,201
16,"Asos.com
",,0,1,2,2,2,2,2,2,1,2,2,0,2,1,2,2,2,2,12.5,197600000,2193360,1.11,1,2,4,0,0,0,0,0,0,0,0,0,6882,151,2,1,1,2,1,12,1,39.4,50.15,2,2,2,2,2,2,2,0,1,1,42675,151
17,"Asus.com
",,0,1,2,2,2,2,2,1,0,0,0,2,2,1,1,2,2,0,8,191200000,1300160,0.68,2,2,4,0,0,0,0,1,0,0,0,0,2632,17,2,1,1,1,1,12,1,37.2,46.34,2,0,2,2,2,2,2,1,2,1,42452,374
18,"Avg.com
",,0,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,0,12,391000000,1368500,0.35,1,2,3,0,0,0,0,1,0,0,0,0,3258,133,2,1,1,1,1,15,2,42.5,54.73,1,2,2,2,2,2,0,0,2,1,42292,534
